Site,City,Total,Normal,Attack,Normal_%,Attack_%,Train,Val,Test
site-1,City_A,100000,80000,20000,80.0,20.0,70000,15000,15000
site-2,City_B,87243,50000,37243,57.3,42.7,61070,13086,13086
site-3,City_C,75436,20000,55436,26.5,73.5,52805,11315,11315
